Id,Label,timeset,modularity_class,availability,pricing_estimate,supplier_url,notes
06A0001,o6 Agencies,,1,Fragrance and Flavour Supplier,Contact for quote,https://o6southafrica.com/,"Supplier of fragrances and flavors for the Southern and Eastern African markets. Confirmed operational September 2024."
AEC001,A&E Connock,,2,Speciality Ingredients Supplier,Contact for quote,https://connock.co.uk/,"UK-based supplier of speciality ingredients to the personal care industry worldwide. Confirmed operational September 2024."
AKU001,AECI Specialty Chemicals,,3,Personal Care Ingredients,Contact for quote,https://sc.aecichemicals.co.za/,"Diversified chemical company with a focus on sustainability and a personal care applications lab. Confirmed operational September 2024."
BOT0003,Botanichem,,4,Online Shop with Direct Pricing,R352.35 - R10318.45,https://thepersonalcarecoach.com/shop/,"Strong focus on natural and sustainable ingredients. Now offers direct online pricing. Updated website September 2024."
CAR0002,"Carst&Walker,div of Zenith Ho",,5,Unknown,Unknown,Unknown,"Status requires verification - no current website found."
CHE0004,Chempure (Pty) Ltd,,6,Unknown,Unknown,Unknown,"Status requires verification - no current website found."
CJP0001,CJP Chemicals (Pty) Ltd,,7,Unknown,Unknown,Unknown,"Status requires verification - no current website found."
CLI0001,"Clive Teubes CC / Scatters Oils",,8,Unknown,Unknown,Unknown,"Status requires verification - no current website found."
COS0007,Cosmetic Ingredients (Pty) Ltd,,9,Active Supplier,Contact for quote,https://cosmetic-ingredients.co.za/,"B2B supplier of cosmetic ingredients with applications laboratory. Confirmed operational September 2024."
CRO0001,Croda Chemicals S.A (Pty) Ltd,,10,Full product catalogue available,Contact for quote,https://www.crodabeauty.com/,"Major international supplier with 757+ cosmetic ingredients. Strong biotech innovation focus. Confirmed operational September 2024."
CTE0001,"Chemgrit Cosmetics (C-Tec)",,11,Unknown,Unknown,Unknown,"Status requires verification - no current website found."
EVO0001,Protea Chemicals,,12,Unknown,Unknown,Unknown,"Status requires verification - no current website found."
HEX0001,Orkila,,13,Unknown,Unknown,Unknown,"Status requires verification - no current website found."
LIP0001,Vantage Speciality Chemicals,,14,Unknown,Unknown,Unknown,"Status requires verification - no current website found."
Maccullum,Exsymol,,15,Unknown,Unknown,Unknown,"Status requires verification - no current website found."
MAT0002,Materia Medica,,16,Unknown,Unknown,Unknown,"Status requires verification - no current website found."
MEG0001,Meganede CC,,17,Distributor for Silab,Contact for quote,https://www.meganede.com/,"Distributor of high-quality Silab ingredients. All 15 Silab products confirmed available. Confirmed operational September 2024."
R1905018,Glyco Repair,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede. Confirmed available September 2024."
R1905027,Deglysome,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede. Confirmed available September 2024."
R1905035,Sebonormine OP,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede. Confirmed available September 2024."
R1905041,Unflamagyl,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede. Confirmed available September 2024."
R1905046,Dermapur HP OP,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede. Confirmed available September 2024."
R1905048,Vitagenyl,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede. Confirmed available September 2024."
R1905049,Detoxyl OP,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede. Confirmed available September 2024."
R1905050,Celldetox,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede. Confirmed available September 2024."
R1905051,Mitokinyl,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede. Confirmed available September 2024."
R1905052,Fermiskin GR,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede. Confirmed available September 2024."
R1905053,Retilactyl D,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede. Confirmed available September 2024."
R1905054,Raffermine 2,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede. Confirmed available September 2024."
R1905056,Eternaline,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede. Confirmed available September 2024."
R1905057,Oxygeskin,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede. Confirmed available September 2024."
R1905058,Aquaphyline EL,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede. Confirmed available September 2024."
MER0001,Merck (Pty) Ltd,,18,Unknown,Unknown,Unknown,"Status requires verification - no current website found."
