ID,Name,Alias,Rank,Description,Pricing,Website,Notes,Last_Updated,Status,Contact_Info
06A0001,o6 Agencies,,1,Fragrance and Flavour Supplier,Contact for quote,https://o6southafrica.com/,Supplier of fragrances and flavors for the Southern and Eastern African markets. Offers 'Personal Care' fragrances suitable for 'Wash Off / Leave on Skin' and 'Baby Care' products.,2024-10-06,Active,"Adam: 083 297 4133 | adam@o6southafrica.com; McQueen: 060 434 4016 | mcqueen@o6southafrica.com; Richard: 082 821 2540 | richard@o6southafrica.com; Office: 011 234 8399; Address: 258 Roan Crescent, Corporate Park North, Midrand, 1685"
AEC001,A&E Connock,,2,Speciality Ingredients Supplier,Contact for quote,https://connock.co.uk/,"UK-based supplier of speciality ingredients to the personal care industry worldwide. Comprehensive product list for 2025 available for download. New products include CONNOCK® ROMAN CHAMOMILE OIL ENGLISH, SILICONE ALTERNATIVES, CONNOCK® OLIVE SQUALANE, CONNOCK® NIACINAMIDE.",2024-10-06,Active,"Phone: +44 (0)1425 653367, Email: sales@connock.com, Address: Woolsbridge, Wimborne, BH21 6SP, England"
AKU001,AECI Specialty Chemicals,,3,Website broken - product catalog not functional,Unknown,https://sc.aecichemicals.co.za/,Diversified chemical company with a focus on sustainability and a personal care applications lab. Website has technical issues with product pages and contact information not accessible.,2024-10-06,Active but broken,Contact page returns 404 error
BOT0003,Botanichem,,4,Online Shop with Transparent Pricing,R352.35 - R10318.45,https://botanichem.co.za/,"Strong focus on natural and sustainable ingredients with comprehensive service offerings. Online shop at thepersonalcarecoach.com/shop/ provides transparent pricing. Offers stability testing, formulation support, quality assurance, and dossier preparation. Only supplier with direct online pricing available.",2024-10-06,Active,"Email: info@botanichem.co.za, Tel: 011 425 2206, Address: Unit 13 AquaPlan Business Park, 120 E.P. Malan Road, Pomona, Kempton Park, 1619"
CAR0002,"Carst&Walker,div of Zenith Ho",,5,Wide range of cosmetic ingredients available,Contact for quote,https://carstwalker.com/,"Active supplier of specialty chemicals with focus on Life Science industries. Recent new skincare ingredients include PhytoCellTec™ Malus Domestica, AmelioSense™, PhytoCellTec™ Exosomes.",2024-10-06,Active,"Address: 10th Floor, Metal Box, 25 Owl Street, Braamfontein Werf, Johannesburg, 2092, South Africa; Phone: +27 (0) 11 489 3600"
CHE0004,Chempure (Pty) Ltd,,6,Wide range of skincare and cosmetic ingredients,Contact for quote,https://chempure.co.za/,Comprehensive range of skincare and cosmetic ingredients categorized under 'Personal Care' -> 'Skin Care'. Extensive ingredient list with INCI names and descriptions.,2024-10-06,Active,"Tel: 012 349-1543/4/5/6, queries@chempure.co.za"
CJP0001,CJP Chemicals (Pty) Ltd,,7,Extensive personal care ingredient portfolio,Contact for quote,https://cjpchemicals.co.za/,"Wide range of skincare and sun care ingredients with detailed categorization including Anti-Ageing, Preservation, Antimicrobial, Moisturation, Brightening, Sunscreens, etc.",2024-10-06,Active,"60 Electron Avenue Isando 1600, Johannesburg South Africa, Phone: +27 (0) 11 494 6700, Email: info@cjpchemicals.co.za"
CLI0001,Clive Teubes CC / Scatters Oils,,8,Over 50 varieties of essential oils and isolates,Wholesale pricing available,https://teubes.com/,"Clive Teubes Group offers over 50 varieties of essential oils and isolates. Scatters Oils USA offers over 350 different organic, aromatherapy, indigenous, essential, and novel oils.",2024-10-06,Active,"Clive Teubes CC: deliwe@teubes.com; Scatters Oils USA: team@scattersoilsusa.com, (904) 994 3205"
COS0007,Cosmetic Ingredients (Pty) Ltd,,9,Wide range from international principals,Contact for quote,https://cosmetic-ingredients.co.za/,"Offers ingredients from international principals covering pigments, protein derivatives, actives, polymers, natural oils. Also provides locally blended ingredients including aMaloco® and aMaloCoat® branded products.",2024-10-06,Active,"Email: info@cosmetic-ingredients.co.za, Phone: +27 12 653 3376"
CRO0001,Croda Chemicals S.A (Pty) Ltd,,10,758 Personal Care Ingredients Available,Contact for quote,https://www.croda.com/en-gb/about-us/where-we-operate/emea/south-africa,"Major international supplier with strong local presence and focus on innovative, high-performance ingredients. Recent innovations include Zenakine™ neurocosmetic skincare (Sept 2025), KeraBio™ K31 biotech bond builder, NatraFusion™ SL HA biosurfactant. Centre of Excellence in Africa with hair salon and testing laboratory.",2024-10-06,Active,"Block G Clearwater Estate Office Park, cnr Atlas and Park Roads, Parkhaven Ext 8, Boksburg 1459, Tel: +27 11 397 2380"
